snapped_at,price,market_cap,total_volume
2021-08-26 00:00:00 UTC,1.997941564110845,120230015.42939615,52292112.63109675
2021-08-27 00:00:00 UTC,2.0936786121358844,131656352.56353192,89238911.21469648
2021-08-28 00:00:00 UTC,2.055554297750221,125788492.58184229,49652685.87599045
2021-08-29 00:00:00 UTC,1.9968021846468023,120663815.03838374,33238738.740440566
2021-08-30 00:00:00 UTC,1.9860886957083876,119467437.92476046,35687429.110929385
2021-08-31 00:00:00 UTC,1.962212367233447,117641181.78263283,49235824.02714284
2021-09-01 00:00:00 UTC,1.9135243258163883,112923430.27697691,37515814.545820594
2021-09-02 00:00:00 UTC,1.8875733998149464,109403734.56318851,43016677.60499689
2021-09-03 00:00:00 UTC,1.8615279804534348,107720035.70433068,31892724.89344722
2021-09-04 00:00:00 UTC,1.8462056482233244,106250262.52074108,30626301.872351184
2021-09-05 00:00:00 UTC,1.9025533930862748,110188907.41447902,43307405.71506742
2021-09-06 00:00:00 UTC,1.8479946785400478,107131414.95809174,29647028.216893155
2021-09-07 00:00:00 UTC,1.8811026365261798,108836755.23830052,35014522.49570051
2021-09-08 00:00:00 UTC,1.771440278665896,99628055.07155806,41623252.01435387
2021-09-09 00:00:00 UTC,1.73465814433767,96104800.17948604,36248175.65095957
2021-09-10 00:00:00 UTC,1.7477819142253852,96976102.57740287,35731267.30203555
2021-09-11 00:00:00 UTC,1.7188126776901707,94609057.634955,33159357.593755975
2021-09-12 00:00:00 UTC,1.7147046285263754,93937071.80978388,28548513.1239157
2021-09-13 00:00:00 UTC,1.7454078393474874,96997714.89691429,30104816.61282767
2021-09-14 00:00:00 UTC,1.7083466905336946,94155726.8959777,31815387.710303713
2021-09-15 00:00:00 UTC,1.71118490121089,94342506.46432705,25094219.703435604
2021-09-16 00:00:00 UTC,1.7350960385292296,95782477.31143329,22736295.925834786
2021-09-17 00:00:00 UTC,1.74603707614748,96904416.52497493,30971013.670088433
2021-09-18 00:00:00 UTC,1.742376486728244,96752789.14729615,32197291.65545534
2021-09-19 00:00:00 UTC,1.726759892720465,95342749.59371094,26192694.28094124
2021-09-20 00:00:00 UTC,1.687299494591337,92640921.93437572,21688106.07241451
2021-09-21 00:00:00 UTC,1.6297864259775776,87521231.24326168,75336609.97081642
2021-09-22 00:00:00 UTC,1.629632123730157,86486430.2197518,61983199.744109645
2021-09-23 00:00:00 UTC,1.6570437433167513,88578452.57068145,29213688.23864316
2021-09-24 00:00:00 UTC,1.6531343487144619,89087770.16993277,31051091.473812435
2021-09-25 00:00:00 UTC,1.6022452941392522,85370501.01245996,26332693.59077403
2021-09-26 00:00:00 UTC,1.5824414225807009,83131220.66753753,35898296.57081045
2021-09-27 00:00:00 UTC,1.6015722743156333,83889601.39610395,29752779.182794586
2021-09-28 00:00:00 UTC,1.5672234299518948,82387281.54296342,27992712.527580004
2021-09-29 00:00:00 UTC,1.5555237474427057,81380016.2717827,31601247.537445284
2021-09-30 00:00:00 UTC,1.5731899777307552,82190605.16726212,33183505.47586529
2021-10-01 00:00:00 UTC,1.582309161170012,82468999.06519121,32226627.750208452
2021-10-02 00:00:00 UTC,1.624997827387596,86289088.51578997,34364865.07037088
2021-10-03 00:00:00 UTC,1.6236134223565433,86184598.1540942,23755707.211102508
2021-10-04 00:00:00 UTC,1.6343205876110212,86999105.44383763,21608552.747828986
2021-10-05 00:00:00 UTC,1.681120495914824,93115637.45778103,48267099.71628995
2021-10-06 00:00:00 UTC,1.697706514330613,93523130.1437345,27715327.433817256
2021-10-07 00:00:00 UTC,1.654585149704313,89867097.10593195,24033466.6029315
2021-10-08 00:00:00 UTC,1.6563801941045684,89696456.94571379,21391387.264395278
2021-10-09 00:00:00 UTC,1.6442376711949143,89422606.18690515,20346945.59363448
2021-10-10 00:00:00 UTC,1.6667611792001091,90425580.6655149,18896397.152179737
2021-10-11 00:00:00 UTC,1.6497271409482044,89570917.47103147,18488003.81681136
2021-10-12 00:00:00 UTC,1.6466320394847496,89315882.56864803,22826960.719083518
2021-10-13 00:00:00 UTC,1.6306139267305109,87780604.89091699,23984765.849236935
2021-10-14 00:00:00 UTC,1.673103349648495,90393906.7517468,24159222.006560877
2021-10-15 00:00:00 UTC,1.6633814872743302,90525275.61047451,23783446.524352342
2021-10-16 00:00:00 UTC,1.707714510299687,93213854.60981178,35205456.06745715
2021-10-17 00:00:00 UTC,1.7266053443543508,95376335.65640682,26168987.203897197
2021-10-18 00:00:00 UTC,1.7353399369783309,96259466.40439467,20802537.958185162
2021-10-19 00:00:00 UTC,1.7993197249104826,103528578.29989836,149464521.2199046
2021-10-20 00:00:00 UTC,1.7696051447130896,100355480.96369925,32554561.50223676
2021-10-21 00:00:00 UTC,1.797894057216669,102837969.57754485,26156475.99985568
2021-10-22 00:00:00 UTC,1.784664234927216,102265381.88093433,24039696.787353627
2021-10-23 00:00:00 UTC,1.8149359964571816,103983449.16222641,22811676.182654772
2021-10-24 00:00:00 UTC,1.8529248510582619,107683717.58309932,27459824.712870557
2021-10-25 00:00:00 UTC,1.853835097524501,108467938.52635899,24496705.91630432
2021-10-26 00:00:00 UTC,1.9284083957226958,113906187.36899596,28952879.421217
2021-10-27 00:00:00 UTC,1.9857531038009038,120458790.07889828,48115690.03089925
2021-10-28 00:00:00 UTC,2.1203521584343545,135765077.03102115,138050708.76998153
2021-10-29 00:00:00 UTC,2.0706223105608705,130895500.73407143,70832166.5915224
2021-10-30 00:00:00 UTC,2.3010630223836017,156335748.42814943,109967544.92590626
2021-10-31 00:00:00 UTC,2.502607519294931,175731386.41429934,108592342.53929697
2021-11-01 00:00:00 UTC,2.3310456577747303,161539932.5828528,100491024.47473635
2021-11-02 00:00:00 UTC,2.2994853540680076,158030383.71525607,47030890.62415156
2021-11-03 00:00:00 UTC,2.319415491341131,158843262.32708547,59491077.70717383
2021-11-04 00:00:00 UTC,2.2960808832433606,156656472.68218893,35562235.305698775
2021-11-05 00:00:00 UTC,2.401675508307414,161910256.29840553,46203454.89264756
2021-11-06 00:00:00 UTC,2.2719836938659737,152196718.0662782,28326033.136500854
2021-11-07 00:00:00 UTC,2.2515818230766254,148703976.45127285,23896324.526765343
2021-11-08 00:00:00 UTC,2.2241357931451473,146699387.13756302,19498500.29002829
2021-11-09 00:00:00 UTC,2.1873287335531026,144079790.8295335,18721424.779591244
2021-11-10 00:00:00 UTC,2.2003914204992356,144412082.711455,21347553.551159017
2021-11-11 00:00:00 UTC,2.145390473433104,138728775.81159118,30877572.50999731
2021-11-12 00:00:00 UTC,2.2025072403393198,142198165.79982275,27359053.51611518
2021-11-13 00:00:00 UTC,2.144168828524254,138661748.93935412,31744144.164578557
2021-11-14 00:00:00 UTC,2.2222572142150554,145531858.71872953,43972100.75796924
2021-11-15 00:00:00 UTC,2.227213680279762,145067269.98950243,24091954.910312526
2021-11-16 00:00:00 UTC,2.169933207664467,141854830.03933442,21396099.07286368
2021-11-17 00:00:00 UTC,2.2107980805784324,145892666.3944569,77183031.5919389
2021-11-18 00:00:00 UTC,2.2827078848967277,149993329.87084708,46436882.35174456
2021-11-19 00:00:00 UTC,2.313471658113129,154517009.06172752,55244881.99755758
2021-11-20 00:00:00 UTC,2.4525853880775594,168772743.63744593,63019124.35589078
2021-11-21 00:00:00 UTC,2.78560682672958,206799212.76903504,140152096.38528123
2021-11-22 00:00:00 UTC,2.5858682292644652,189363592.2918567,86400721.82253657
2021-11-23 00:00:00 UTC,2.559148034738627,184817529.4971819,54297748.55663844
2021-11-24 00:00:00 UTC,2.631330163093046,192263481.51115093,67446400.46759237
2021-11-25 00:00:00 UTC,2.8377155513107777,212512750.75141677,95490901.19394794
2021-11-26 00:00:00 UTC,2.896108975010001,229696251.2999049,156531548.56543568
2021-11-27 00:00:00 UTC,2.8458697812624556,218081877.3882783,104086163.67672373
2021-11-28 00:00:00 UTC,2.811505731374601,216629224.13232747,49820979.87120554
2021-11-29 00:00:00 UTC,2.852247260840624,217168274.7737344,54357319.35889392
2021-11-30 00:00:00 UTC,2.8742764635788114,221100731.06055498,41307189.657938436
2021-12-01 00:00:00 UTC,2.843238556540906,220295563.24531075,50336368.5665
2021-12-02 00:00:00 UTC,2.875155799213113,222233107.5301149,47662720.154117495
2021-12-03 00:00:00 UTC,2.8323762326539366,219134128.2141559,57722155.87043454
2021-12-04 00:00:00 UTC,2.7286138439600673,206230196.34097898,41786655.6456698
2021-12-05 00:00:00 UTC,2.5813851873489124,188369425.15794903,72852971.59102218
2021-12-06 00:00:00 UTC,2.547884499824236,184237113.03443843,42001505.527496904
2021-12-07 00:00:00 UTC,2.4990116327580116,178917366.64473048,43023991.497780226
2021-12-08 00:00:00 UTC,2.494526028414243,177913143.38145912,36685400.666087374
2021-12-09 00:00:00 UTC,2.489257658488896,177349463.7143886,34734697.10787577
2021-12-10 00:00:00 UTC,2.4148459440336665,171437455.60879767,34509995.89871405
2021-12-11 00:00:00 UTC,2.40762614660417,168978705.71569687,39124489.86295554
2021-12-12 00:00:00 UTC,2.416775368524399,169366720.4721059,31433724.39347426
2021-12-13 00:00:00 UTC,2.440775688174128,170857314.07668522,30422646.853165895
2021-12-14 00:00:00 UTC,2.346527863556881,161496710.4229416,35375727.18463201
2021-12-15 00:00:00 UTC,2.359518548143777,162407196.90361276,32992197.51607358
2021-12-16 00:00:00 UTC,2.405552484719822,164585312.5291578,31762777.387414906
2021-12-17 00:00:00 UTC,2.3871678288486353,163964307.08921513,25481501.188031256
2021-12-18 00:00:00 UTC,2.395353084352551,163967618.853985,27057139.88574435
2021-12-19 00:00:00 UTC,2.390783799720628,164496366.23987794,27951946.434522238
2021-12-20 00:00:00 UTC,2.3328808838125377,160509880.75488132,20738363.992625546
2021-12-21 00:00:00 UTC,2.3709035165107992,162480130.18164477,23395981.489210304
2021-12-22 00:00:00 UTC,2.395966265899042,164556685.216585,22628844.31855598
2021-12-23 00:00:00 UTC,2.389969143412466,164317433.23142567,20475287.248321533
2021-12-24 00:00:00 UTC,2.438503069844957,167719704.82688844,27451362.444980603
2021-12-25 00:00:00 UTC,2.3845413960983253,164468872.2337488,27688822.26084234
2021-12-26 00:00:00 UTC,2.3971325926869307,165794568.9640837,20323374.757012803
2021-12-27 00:00:00 UTC,2.4175746633948534,167034742.13270122,22273426.943209898
2021-12-28 00:00:00 UTC,2.3983345429401743,165783275.23181546,20542411.678819533
2021-12-29 00:00:00 UTC,2.3517326910134484,162007163.50170934,31451111.211941402
2021-12-30 00:00:00 UTC,2.3067333965694354,156502946.74856544,29625251.8580029
2021-12-31 00:00:00 UTC,2.3396406727449213,159154166.48576525,27158449.587001946
2022-01-01 00:00:00 UTC,2.284299042231142,155399358.55961335,27670591.040988274
2022-01-02 00:00:00 UTC,2.327697267175767,157871957.77136847,21849423.207281504
2022-01-03 00:00:00 UTC,2.3077904653701204,156645735.2377437,20098911.035369664
2022-01-04 00:00:00 UTC,2.28093921778321,154228336.5263682,19763402.78725929
2022-01-05 00:00:00 UTC,2.277241336557708,153963939.64807358,21974463.981519926
2022-01-06 00:00:00 UTC,2.2581806221870058,151947298.83962747,23627536.969744906
2022-01-07 00:00:00 UTC,2.2153430552324123,146421010.58756867,34144529.60522263
2022-01-08 00:00:00 UTC,2.119032392875585,137898318.95545354,36906116.49612982
2022-01-09 00:00:00 UTC,2.128662541075247,137919082.1117656,31065085.319562983
2022-01-10 00:00:00 UTC,2.124977956470315,137741279.21326706,29104607.29077734
2022-01-11 00:00:00 UTC,2.130747682974207,137487481.1201037,32668103.457757328
2022-01-12 00:00:00 UTC,2.1503662079672496,139247880.07542098,38719560.8678275
2022-01-13 00:00:00 UTC,2.168933960937388,140651086.7465079,35145896.74014932
2022-01-14 00:00:00 UTC,2.1605668753330844,140947666.2030586,32490706.76849914
2022-01-15 00:00:00 UTC,2.1874185794278067,143230929.91904914,31584150.041291874
2022-01-16 00:00:00 UTC,2.19865256018839,144728831.03877756,26856038.91735323
2022-01-17 00:00:00 UTC,2.174284705775371,142581317.90254486,27131561.822964262
2022-01-18 00:00:00 UTC,2.15897203474805,141102923.0191206,30451873.186804038
2022-01-19 00:00:00 UTC,2.1887137661105887,142741259.55870715,34037675.934152134
2022-01-20 00:00:00 UTC,2.134304138074895,138774538.07032642,34213031.586728975
2022-01-21 00:00:00 UTC,2.1011695166819906,136075239.5897708,26455005.891157392
2022-01-22 00:00:00 UTC,2.0784175195608645,133394583.53375341,50971668.1167859
2022-01-23 00:00:00 UTC,2.0533463621646875,129327544.24011901,93191767.12866424
2022-01-24 00:00:00 UTC,2.0649726935813564,130078280.56876707,28840708.326944325
2022-01-25 00:00:00 UTC,2.0224409208284726,125148125.9806789,40647644.54260561
2022-01-26 00:00:00 UTC,2.010235553589788,124321910.85017231,23397062.368618187
2022-01-27 00:00:00 UTC,1.9963530776040705,123702592.18836924,33539650.235635914
2022-01-28 00:00:00 UTC,2.005720843479419,123476868.66460304,29484560.878273923
2022-01-29 00:00:00 UTC,1.9997339649471353,123465100.83348043,27171094.480455846
2022-01-30 00:00:00 UTC,2.0428731094269854,126511236.35188979,24383357.636225577
2022-01-31 00:00:00 UTC,2.007030223055833,124378896.7940451,21577420.444018703
2022-02-01 00:00:00 UTC,2.0190773571482477,125739281.25054398,32702873.760946233
2022-02-02 00:00:00 UTC,2.0400413688275068,127036880.21839756,22016315.945229128
2022-02-03 00:00:00 UTC,2.0203687426515455,125984934.5972023,19763149.65313294
2022-02-04 00:00:00 UTC,2.0164024400908285,124950571.65544583,22024141.899332818
2022-02-05 00:00:00 UTC,2.0316908961312126,126595539.38938224,25929801.11969803
2022-02-06 00:00:00 UTC,2.062500587683876,129158889.2254459,25419862.960209996
2022-02-07 00:00:00 UTC,2.0868984316601638,130862842.35309716,21810057.16230658
2022-02-08 00:00:00 UTC,2.077007288935244,131264046.12963718,28608730.410662804
2022-02-09 00:00:00 UTC,2.077243967505339,131417844.8253077,22640781.02325014
2022-02-10 00:00:00 UTC,2.117164467681324,133958498.09278002,23537653.639935248
2022-02-11 00:00:00 UTC,2.073344520540087,130941576.55591449,29561568.31382575
2022-02-12 00:00:00 UTC,2.0357468503016145,127720286.64968413,27815469.010434255
2022-02-13 00:00:00 UTC,2.040074120776085,127598911.05075915,20846794.197333287
2022-02-14 00:00:00 UTC,2.023014644277964,126542817.6261268,17564608.81035151
2022-02-15 00:00:00 UTC,2.0402867406739005,127344997.82599801,21759485.78334073
2022-02-16 00:00:00 UTC,2.0721091099516116,129956987.89636514,21018144.353439655
2022-02-17 00:00:00 UTC,2.0431651255605345,128553831.12340865,18567633.373368986
2022-02-18 00:00:00 UTC,2.017412406192279,126499109.77296674,22107621.985026676
2022-02-19 00:00:00 UTC,2.006151476189173,125485462.3889516,27677841.4585579
2022-02-20 00:00:00 UTC,2.0170666871979996,125438223.21727811,16057365.01645111
2022-02-21 00:00:00 UTC,1.996410576774273,124066319.33883066,19760081.834164463
2022-02-22 00:00:00 UTC,1.9817085192007444,122575857.76523843,22327521.323942747
2022-02-23 00:00:00 UTC,1.9851696772567242,122966404.79483394,23636237.0353809
2022-02-24 00:00:00 UTC,1.9744720881511086,121874004.36794268,20681342.09943542
2022-02-25 00:00:00 UTC,1.9635146196735294,119479338.9547051,33383389.348547924
2022-02-26 00:00:00 UTC,1.9886242117709683,121073031.91568653,29161687.322521277
2022-02-27 00:00:00 UTC,1.9478499553067308,118892890.12106535,22498341.939390074
2022-02-28 00:00:00 UTC,1.93597175577233,118174861.11504366,23612261.747831132
2022-03-01 00:00:00 UTC,1.9823324745070665,120789095.93902738,24510816.16193748
2022-03-02 00:00:00 UTC,1.9776034756020218,120890912.18762566,29436179.575118434
2022-03-03 00:00:00 UTC,1.9545090664005014,119563113.9645713,28797562.847419098
2022-03-04 00:00:00 UTC,1.9375469613653449,117970077.96889278,21413977.97691205
2022-03-05 00:00:00 UTC,1.9256912512440323,116993088.91630286,17783784.7064167
2022-03-06 00:00:00 UTC,1.935901763121071,117188215.87582995,18640934.087146014
2022-03-07 00:00:00 UTC,1.9218522510371383,116537515.84269555,17025006.597574886
2022-03-08 00:00:00 UTC,1.903719578888951,114706419.00899611,21826026.85889625
2022-03-09 00:00:00 UTC,1.914670534970781,115416970.92667012,37377720.71746964
2022-03-10 00:00:00 UTC,1.9586108121075514,118783087.50779147,30654481.776567146
2022-03-11 00:00:00 UTC,1.928214967286636,116869174.20180738,31224501.15106118
2022-03-12 00:00:00 UTC,1.9129813795329684,115790540.73610318,24630336.61273975
2022-03-13 00:00:00 UTC,1.9170946629254386,115989001.72520757,10798254.661992058
2022-03-14 00:00:00 UTC,1.921408880022877,116017044.83096814,14356860.894598335
2022-03-15 00:00:00 UTC,1.9251601478730982,116291552.64323798,28240426.585867096
2022-03-16 00:00:00 UTC,1.9154767399141366,115727383.12077594,36152991.81820703
2022-03-17 00:00:00 UTC,1.9460178421968022,117879732.65993409,25207004.689455703
2022-03-18 00:00:00 UTC,1.9413982784416777,117537703.32261853,27832982.41691178
2022-03-19 00:00:00 UTC,1.9477756637677621,118141770.207703,26961140.4565129
2022-03-20 00:00:00 UTC,1.9858442324092132,121656661.70364644,32596563.96141673
2022-03-21 00:00:00 UTC,1.9676113226985252,120740435.32912189,24979646.521235224
2022-03-22 00:00:00 UTC,1.9684324612118602,120672243.73594525,31621580.59856653
2022-03-23 00:00:00 UTC,2.0090414477465752,124217945.93314074,33600865.37438481
2022-03-24 00:00:00 UTC,2.024442059158978,125530450.00217721,33516483.734252837
2022-03-25 00:00:00 UTC,2.020686032287721,125483100.78331825,27895340.608618297
2022-03-26 00:00:00 UTC,2.011752973869005,125231285.01532534,21023691.371921293
2022-03-27 00:00:00 UTC,2.0276931617763876,126178705.46341282,15307400.278249824
2022-03-28 00:00:00 UTC,2.033854348622016,126576335.87291272,18669425.89593756
2022-03-29 00:00:00 UTC,2.0176669769167583,126962238.63709097,23777919.678749736
2022-03-30 00:00:00 UTC,2.03720506241917,127709366.09254962,15976458.909561524
2022-03-31 00:00:00 UTC,2.0942856824275844,132892203.24178998,23925483.840695217
2022-04-01 00:00:00 UTC,2.0862090673678284,132525597.49040075,24601597.580204073
2022-04-02 00:00:00 UTC,2.0940687687249793,133429889.68189788,20141780.55464249
2022-04-03 00:00:00 UTC,2.0766637805939454,132454580.51541397,14703780.100431573
2022-04-04 00:00:00 UTC,2.091952590887044,132999545.45145857,14414628.414534613
2022-04-05 00:00:00 UTC,2.1070437335743857,134464460.97017536,19763282.839439522
2022-04-06 00:00:00 UTC,2.0662194430808514,131456761.59447037,14731777.062975124
2022-04-07 00:00:00 UTC,2.022013769870942,127262611.39238517,17513934.144482605
2022-04-08 00:00:00 UTC,2.0231075031554764,126897527.05233441,13953316.312667223
2022-04-09 00:00:00 UTC,2.0097654222141474,125854593.40596148,12018985.957111077
2022-04-10 00:00:00 UTC,2.010981899104916,125577406.44657433,9022608.140804702
2022-04-11 00:00:00 UTC,1.9801091256577028,122945850.42295332,9179515.255322125
2022-04-12 00:00:00 UTC,1.948639853343957,120133535.1592916,12309937.561726876
2022-04-13 00:00:00 UTC,1.9470836255682915,118844603.62148891,13887213.05476524
2022-04-14 00:00:00 UTC,1.952679672016164,119035620.5040174,12687388.497980734
2022-04-15 00:00:00 UTC,1.928962031457815,117679659.55733953,9954022.220359055
2022-04-16 00:00:00 UTC,1.9394170492970817,118187299.31745413,10194486.162545267
2022-04-17 00:00:00 UTC,1.9310203688023897,117680577.31647351,7428420.753279417
2022-04-18 00:00:00 UTC,1.9144519270054539,116496548.9025418,8933724.993534321
2022-04-19 00:00:00 UTC,1.9294375605748288,117379817.6376969,12828584.750535047
2022-04-20 00:00:00 UTC,1.9311722832197176,117299988.24073996,10999806.560046062
2022-04-21 00:00:00 UTC,1.9115318049492844,116057915.63989799,12115325.445227288
2022-04-22 00:00:00 UTC,1.9031494747695707,115471980.94096035,12879115.170944178
2022-04-23 00:00:00 UTC,1.8888982011064082,114150042.41324575,11296065.850515705
2022-04-24 00:00:00 UTC,1.8827343246267143,113441137.39051585,9571826.430473281
2022-04-25 00:00:00 UTC,1.8751390130450363,112789083.36922064,11145909.378465112
2022-04-26 00:00:00 UTC,1.8925957448438857,113547850.73075916,15987945.890520748
2022-04-27 00:00:00 UTC,1.8542397133554902,111321576.32871284,16668481.530635813
2022-04-28 00:00:00 UTC,1.8770474908786823,112260727.1809677,15077301.27936105
2022-04-29 00:00:00 UTC,1.865492328371725,111653432.35010299,19237673.000170454
2022-04-30 00:00:00 UTC,1.8753751233290654,111885493.52009135,18243872.01111525
2022-05-01 00:00:00 UTC,1.8448578200736783,109857924.36035569,14676384.956602084
2022-05-02 00:00:00 UTC,1.8517093043947719,109868976.10864046,16656701.73424274
2022-05-03 00:00:00 UTC,1.8511878631174017,109908880.83108217,14548038.384999853
2022-05-04 00:00:00 UTC,1.8383293358064312,108964786.06078029,11584806.803530162
2022-05-05 00:00:00 UTC,1.8683457428820183,110736741.918694,14446674.242681494
2022-05-06 00:00:00 UTC,1.8353957565825278,108761454.76821889,14079361.311058424
2022-05-07 00:00:00 UTC,1.8245666833000111,107683959.97925521,13292068.580018684
2022-05-08 00:00:00 UTC,1.8266178207142831,107606843.85193472,8760623.538533054
2022-05-09 00:00:00 UTC,1.8055283700855476,105752121.73778783,13914722.350087347
2022-05-10 00:00:00 UTC,1.7387844708654763,100090660.85111527,23082672.087503683
2022-05-11 00:00:00 UTC,1.7412114459016894,99579219.67829444,26135784.453886755
2022-05-12 00:00:00 UTC,1.6841766570543861,94902937.91251403,31296882.866338342
2022-05-13 00:00:00 UTC,1.5995713857475151,87393390.88978837,37082568.38733896
2022-05-14 00:00:00 UTC,1.5822864251482072,85514251.4322784,20988281.925356884
2022-05-15 00:00:00 UTC,1.6216440968917842,86768809.54087475,17305915.726855185
2022-05-16 00:00:00 UTC,1.5944907843602927,85183196.80344604,19815727.915349536
2022-05-17 00:00:00 UTC,1.576655930261453,83937544.72394252,16366458.865318418
2022-05-18 00:00:00 UTC,1.5902202872597702,84744096.52069345,15498656.96650317
2022-05-19 00:00:00 UTC,1.5556211454628395,82737901.77773742,15190402.887707148
2022-05-20 00:00:00 UTC,1.6050083438734768,85649251.63755302,8243490.549071215
2022-05-21 00:00:00 UTC,1.5602879534370904,83339837.35443167,4851409.677546539
2022-05-22 00:00:00 UTC,1.556600930411085,82454824.5162708,3705082.205347105
2022-05-23 00:00:00 UTC,1.5543140985758945,82372631.13058142,4790594.7028650325
2022-05-24 00:00:00 UTC,1.543614003679271,81737843.25712097,4801067.395849888
2022-05-25 00:00:00 UTC,1.5540243187705678,81898395.8326919,4735549.833015232
2022-05-26 00:00:00 UTC,1.546570037511292,81529984.41432214,21416873.953563515
2022-05-27 00:00:00 UTC,1.5325767742788283,80226314.32881226,23214815.57471854
2022-05-28 00:00:00 UTC,1.4951643089636104,76987871.80922683,24052420.10335613
2022-05-29 00:00:00 UTC,1.4909471774679584,76608339.88638386,16180416.807073427
2022-05-30 00:00:00 UTC,1.5003586539843765,77161742.50499733,14363351.81262752
2022-05-31 00:00:00 UTC,1.526344865114548,79191956.67703298,20620776.784535658
2022-06-01 00:00:00 UTC,1.5085757686855576,78320050.07107942,20816046.116889417
2022-06-02 00:00:00 UTC,1.4996297246115466,77503363.93600585,26341384.480391752
2022-06-03 00:00:00 UTC,1.5041964454158956,77701917.25826202,28989906.692494635
2022-06-04 00:00:00 UTC,1.4916096178593279,77018444.36522591,22056969.192594
2022-06-05 00:00:00 UTC,1.4947111810192932,76951676.39271657,13410096.13790829
2022-06-06 00:00:00 UTC,1.485001315858002,76641357.9093268,12258528.331429336
2022-06-07 00:00:00 UTC,1.4879069751484568,76633116.30639726,21316081.305034343
2022-06-08 00:00:00 UTC,1.4973953723610727,76908014.94101839,29229180.928055093
2022-06-09 00:00:00 UTC,1.475531460244136,75873168.43374166,27402118.155295182
2022-06-10 00:00:00 UTC,1.4640022312846583,74922920.57334422,38256608.06489221
2022-06-11 00:00:00 UTC,1.4626707008788853,74606598.17465372,21295180.42082575
2022-06-12 00:00:00 UTC,1.4372682914242783,72086386.08860908,20155534.376207955
2022-06-13 00:00:00 UTC,1.4131131533922778,70826658.74266443,16351742.979684314
2022-06-14 00:00:00 UTC,1.382612841624057,67205618.4548712,20551459.353377372
2022-06-15 00:00:00 UTC,1.3750096645969088,67077691.86944967,9439844.246350165
2022-06-16 00:00:00 UTC,1.3715761035480234,66186259.39087781,8136030.015580536
