snapped_at,price,market_cap,total_volume
2021-04-08 00:00:00 UTC,33.14976030348836,118468405.62525478,12884093.191732593
2021-04-09 00:00:00 UTC,34.34524342831456,121777778.21416184,9058156.68232945
2021-04-10 00:00:00 UTC,31.784398961581854,113948484.85230088,8030811.991129547
2021-04-11 00:00:00 UTC,31.013809819558936,110965841.03024405,8324270.199128182
2021-04-12 00:00:00 UTC,29.59193569301284,105559819.69819097,9260741.391011566
2021-04-13 00:00:00 UTC,35.0649366465449,124709156.38342649,11555707.00432333
2021-04-14 00:00:00 UTC,29.7403790162062,105359063.30667616,12994231.588471789
2021-04-15 00:00:00 UTC,28.78601076338851,103476489.65767296,9400610.884177292
2021-04-16 00:00:00 UTC,26.563172086689388,95855694.82147153,7150624.571965119
2021-04-17 00:00:00 UTC,25.5388360725795,92234085.65658143,7420709.567604609
2021-04-18 00:00:00 UTC,23.5699522322135,85349888.37365857,6459350.650191873
2021-04-19 00:00:00 UTC,22.325135507822303,80276170.36104567,6449102.182127453
2021-04-20 00:00:00 UTC,21.787546921487575,79436164.24329115,6296940.740805165
2021-04-21 00:00:00 UTC,19.512253058642198,70579268.18706132,5280292.881227834
2021-04-22 00:00:00 UTC,19.739806112009223,71593595.77804367,6127578.013738277
2021-04-23 00:00:00 UTC,20.907320289350746,76871017.27725028,8494832.411778927
2021-04-24 00:00:00 UTC,19.639279730576597,72530086.62249283,6141532.004278827
2021-04-25 00:00:00 UTC,19.17931164259619,70043538.99818778,2777066.637627262
2021-04-26 00:00:00 UTC,17.54315793134645,64075528.29782371,4625362.280856053
2021-04-27 00:00:00 UTC,18.171498946943775,66323985.67568517,6911388.462476501
2021-04-28 00:00:00 UTC,18.348388435424525,67504259.23289426,6421942.380981077
2021-04-29 00:00:00 UTC,20.958743805580358,77575601.79842736,7324114.388179047
2021-04-30 00:00:00 UTC,19.957165381920472,75987949.69829205,6617532.360729502
2021-05-01 00:00:00 UTC,19.253116406928438,72935550.92757572,4543812.261568246
2021-05-02 00:00:00 UTC,18.322027307373503,69149378.75318639,4590913.601268684
2021-05-03 00:00:00 UTC,17.25882218953002,65628351.35802865,5799693.645246537
2021-05-04 00:00:00 UTC,17.479045360579743,67477735.96524324,4709498.44835302
2021-05-05 00:00:00 UTC,20.185672589679005,77161976.75788532,6675746.227332302
2021-05-06 00:00:00 UTC,21.3646995006555,82051325.60309952,5425244.197209376
2021-05-07 00:00:00 UTC,18.451124437598473,70859658.45175157,3881385.00625221
2021-05-08 00:00:00 UTC,18.316808469772138,70811258.854831,2625632.3167693224
2021-05-09 00:00:00 UTC,19.65552280385404,75315020.44941148,2910903.9548993763
2021-05-10 00:00:00 UTC,18.26130705168243,70379613.61834009,2905228.8242420163
2021-05-11 00:00:00 UTC,16.290305741157965,62644123.48354717,3443264.70253131
2021-05-12 00:00:00 UTC,15.258053022122244,58570720.35280412,4105498.033931063
2021-05-13 00:00:00 UTC,13.95462712671397,53811111.105208285,3179584.162710576
2021-05-14 00:00:00 UTC,12.937649865762179,49866551.037463464,5269361.702500179
