Date,Days,STIR,LSR,SSR,d1,d2,d3,d4,d5
12/2/1998,Thursday,-0.022787766,-0.017047137,-0.071653119,0,0,0,1,0
13/2/1998,Friday,-0.018120917,-0.022260059,0.003651342,0,0,0,0,1
16/2/1998,Monday,-0.038864811,-0.031801095,-0.022842191,1,0,0,0,0
17/2/1998,Tuesday,0.024277797,0.022275504,0.008896642,0,1,0,0,0
18/2/1998,Wednesday,0.023274093,0.015808597,-0.006831865,0,0,1,0,0
19/2/1998,Thursday,0.002959368,-0.001369185,0.00084245,0,0,0,1,0
20/2/1998,Friday,0.002593446,0.005780033,-0.011646925,0,0,0,0,1
23/2/1998,Monday,0.001702373,-0.01022686,0.022799852,1,0,0,0,0
24/2/1998,Tuesday,0.002493408,0.006837747,0.017313297,0,1,0,0,0
25/2/1998,Wednesday,0.010352137,0.013655116,0.02782058,0,0,1,0,0
26/2/1998,Thursday,0.01325075,-0.000182345,0.033606146,0,0,0,1,0
27/2/1998,Friday,0.00750229,0.016938886,0.009368051,0,0,0,0,1
2/3/1998,Monday,-0.006660725,-0.012086344,-0.004639449,1,0,0,0,0
3/3/1998,Tuesday,-0.017789353,-0.011677759,-0.010702618,0,1,0,0,0
4/3/1998,Wednesday,-0.014119589,-0.008424649,-0.014730765,0,0,1,0,0
5/3/1998,Thursday,-0.016008346,-0.005523706,-0.006643412,0,0,0,1,0
6/3/1998,Friday,0.001819378,0.002134321,-0.034185384,0,0,0,0,1
9/3/1998,Monday,-0.008354385,-0.012073577,-0.036998857,1,0,0,0,0
10/3/1998,Tuesday,0.008808713,0.009009016,0.014843414,0,1,0,0,0
11/3/1998,Wednesday,0.015208601,0.016459956,-0.008771361,0,0,1,0,0
12/3/1998,Thursday,0.012842695,0.018398029,0.002077033,0,0,0,1,0
13/3/1998,Friday,-0.002816999,0.006956923,0.011194991,0,0,0,0,1
16/3/1998,Monday,-0.003508512,-0.009071052,0.004590738,1,0,0,0,0
17/3/1998,Tuesday,0.013279506,0.010378782,0.037549783,0,1,0,0,0
18/3/1998,Wednesday,0.01019088,0.005929031,-0.002798726,0,0,1,0,0
19/3/1998,Thursday,0.037094704,0.025132825,0.034126582,0,0,0,1,0
20/3/1998,Friday,-0.01288393,-0.006368542,0.026365732,0,0,0,0,1
23/3/1998,Monday,-0.01276151,-0.007338328,0.019900532,1,0,0,0,0
24/3/1998,Tuesday,-0.002267477,0.001526661,-0.013060396,0,1,0,0,0
25/3/1998,Wednesday,0.00764125,-0.000833181,0.062608802,0,0,1,0,0
26/3/1998,Thursday,-0.007072245,-0.002500182,0.040687585,0,0,0,1,0
